"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
1988-02,-301.263,,3882.512,,2729.291,,1026.906,,1571.219,,15759.767,,-1413.072,,-585.908,,2092.009,,3454.966,,4375.807,,543.159,,-1153.220,,1704.579,,-2464.207,,144.102,,2439.156,,20135.574,,2.682,,2836.421,,-649.366,,-95.046,,1557.174,,753.812,,2428.060,
1988-03,55.602,,4670.580,,3283.061,,1268.920,,963.091,,19350.707,,-1468.139,,2883.974,,5383.984,,3517.945,,5063.583,,691.785,,-1387.519,,-2883.688,,-877.710,,133.624,,4598.017,,24414.290,,8.802,,3476.845,,2008.557,,-101.418,,1601.762,,907.202,,2249.026,
1988-04,132.504,,4186.913,,3015.100,,1683.530,,879.834,,16239.765,,-1389.773,,523.507,,5400.632,,3812.267,,5576.267,,715.051,,-1171.814,,-188.745,,906.448,,215.188,,2854.732,,21816.032,,44.566,,4698.210,,797.323,,-94.902,,1604.961,,412.569,,2128.737,
1988-05,-43.367,,4257.296,,3070.555,,762.420,,634.373,,17440.222,,-1358.437,,706.983,,3713.277,,3525.439,,5708.391,,1037.668,,-1186.742,,-738.234,,-1533.280,,202.587,,3497.948,,23148.614,,76.567,,3925.632,,-124.668,,-87.687,,1561.024,,708.991,,2763.020,
1988-06,-171.276,,5318.699,,3371.092,,703.304,,2472.194,,17063.609,,-1090.243,,-1893.219,,3887.497,,4131.472,,7602.371,,2924.667,,-1947.607,,3430.762,,-4350.651,,535.352,,2844.579,,24665.981,,-3.291,,5267.825,,-1295.631,,-84.697,,1625.595,,1105.926,,3428.168,
1988-07,-2121.061,,5824.950,,3328.526,,863.361,,-1484.511,,17142.094,,-1369.106,,430.879,,240.882,,4019.834,,5886.302,,1187.994,,-2496.424,,-1007.308,,-3612.334,,608.008,,4132.083,,23028.396,,17.650,,2884.134,,-2533.165,,-110.086,,1977.114,,1212.979,,3156.473,
1988-08,-2259.426,,6234.875,,3550.268,,1475.369,,541.810,,16631.353,,-1746.922,,-646.058,,1482.964,,3832.496,,5115.467,,665.680,,-2684.607,,2860.261,,-2093.665,,134.324,,2299.336,,21746.820,,69.804,,2159.307,,-568.028,,-108.315,,1881.246,,587.033,,2357.127,
1988-09,-380.404,,5718.587,,3413.326,,1357.736,,5441.132,,16941.961,,-1431.142,,901.332,,6548.607,,3783.031,,6186.558,,644.255,,-2305.261,,4132.190,,-978.946,,127.252,,1400.812,,23128.519,,41.353,,3807.891,,2830.334,,-89.618,,1558.394,,788.014,,2425.295,
1988-10,-71.558,,4762.145,,3229.678,,1759.081,,94.406,,19783.110,,-2026.565,,1958.925,,2651.916,,4193.286,,6035.982,,1538.466,,-1532.468,,-1793.806,,514.984,,280.515,,509.094,,25819.092,,-5.035,,4236.031,,-1465.396,,-118.719,,2307.079,,0.846,,2434.204,
1988-11,590.824,,3932.196,,3620.494,,993.683,,3870.023,,17787.101,,-2281.851,,1677.697,,8283.554,,3774.315,,7369.847,,1061.966,,-311.702,,2104.148,,987.078,,185.108,,2309.731,,25156.947,,54.756,,5769.976,,2585.612,,-72.034,,2466.959,,-502.646,,2780.632,
1988-12,126.764,,4768.238,,3863.509,,1307.372,,3668.924,,19696.999,,-1630.701,,1130.493,,6713.944,,4116.804,,7681.044,,-110.798,,-904.728,,1877.596,,-1822.359,,547.675,,5013.954,,27378.044,,-35.776,,6452.987,,403.356,,-142.399,,2178.375,,534.071,,2809.432,
1989-01,-419.390,,4408.160,,3276.378,,2281.134,,-576.214,,18091.081,,-1600.541,,7691.680,,3259.192,,4902.002,,6591.455,,96.318,,-1131.782,,-10111.696,,-1755.696,,246.288,,5511.925,,24682.536,,-17.141,,6140.266,,-2868.889,,-12.185,,1846.829,,2263.193,,2620.868,
1989-02,-780.316,,4263.719,,3275.833,,1420.657,,-517.031,,18462.121,,-1746.044,,4184.712,,4637.432,,4268.066,,6252.167,,530.978,,-987.886,,-4017.558,,408.239,,187.663,,4201.045,,24714.288,,14.201,,4938.893,,-201.349,,-100.112,,1933.707,,96.132,,2847.409,
1989-03,-2129.399,,4802.551,,3499.729,,1484.076,,2840.108,,20081.946,,-1460.413,,2364.614,,7351.340,,4261.962,,6960.412,,242.751,,-1302.822,,2008.204,,-5.016,,356.724,,4247.257,,27042.357,,26.241,,5681.252,,1998.228,,-328.140,,1817.137,,596.688,,2777.886,
1989-04,-1003.603,,4929.131,,3585.169,,1762.242,,3084.660,,20454.819,,-1661.960,,5139.719,,5047.029,,4491.252,,5699.421,,649.890,,-1343.961,,-1875.838,,977.667,,157.354,,345.780,,26154.240,,-10.968,,4455.741,,696.783,,-105.495,,1819.315,,824.381,,2729.011,
1989-05,-3332.131,,4965.289,,3617.030,,1446.750,,2043.977,,19232.435,,-1507.275,,2030.885,,2191.167,,4416.060,,5972.061,,493.266,,-1348.259,,2215.160,,328.318,,263.656,,-619.233,,25204.496,,-55.162,,4563.277,,-2275.840,,-96.270,,1770.932,,1130.063,,2969.310,
1989-06,-1204.259,,5586.273,,3918.894,,616.911,,6469.184,,22167.132,,-1148.265,,804.380,,6132.006,,4735.445,,7536.068,,845.734,,-1667.379,,6472.455,,181.548,,696.136,,-1465.057,,29703.200,,100.597,,5337.335,,933.293,,-138.621,,1844.402,,396.608,,4118.534,
1989-07,-287.084,,6269.117,,3838.321,,1166.004,,4459.708,,19202.490,,-1769.878,,-527.212,,4772.271,,4636.890,,5919.743,,606.039,,-2430.797,,4723.365,,-118.366,,301.286,,-248.791,,25122.233,,73.680,,2885.072,,2030.022,,-142.824,,2071.164,,550.640,,3470.886,
1989-08,-459.580,,6508.090,,3967.740,,1475.071,,1703.077,,18437.158,,-1569.188,,-754.475,,3191.092,,4438.383,,6206.509,,591.025,,-2540.350,,2373.596,,959.980,,167.932,,-91.091,,24643.667,,28.101,,3572.042,,-233.263,,-147.687,,1737.120,,543.536,,2963.312,
1989-09,-1382.399,,6015.636,,3908.136,,1560.837,,456.328,,19221.486,,-1407.603,,992.503,,2792.539,,4464.804,,6737.239,,1395.054,,-2107.500,,331.439,,-7.840,,325.322,,939.859,,25958.724,,9.138,,4782.973,,-1891.056,,-99.377,,1732.925,,514.785,,2903.967,
1989-10,-1023.024,,5354.421,,3747.945,,1619.919,,8215.812,,22666.179,,-1441.901,,7607.177,,4945.775,,4553.301,,6138.640,,-1307.992,,-1606.477,,1196.996,,2041.451,,417.362,,-3911.783,,28804.818,,-91.713,,4710.181,,342.893,,-107.298,,1859.264,,434.664,,2933.382,
1989-11,-73.995,,4627.776,,3776.791,,1630.418,,12811.811,,21121.946,,-1652.692,,2446.000,,8614.737,,4716.704,,5981.221,,1590.637,,-850.985,,11181.628,,-239.118,,175.800,,-5421.670,,27103.167,,-126.924,,5107.962,,3534.502,,-27.728,,1828.492,,-741.822,,3086.286,
1989-12,-410.392,,4940.538,,4493.289,,747.941,,5095.370,,19987.394,,-1621.920,,-4354.707,,6283.034,,4211.407,,5756.522,,2357.582,,-447.249,,9085.219,,-7.834,,363.373,,-1034.731,,25743.916,,-127.353,,4435.294,,1955.682,,-107.942,,1985.293,,775.250,,3463.467,
1990-01,-27.291,,5303.927,,3618.379,,1936.574,,4528.995,,20613.553,,-1588.508,,9087.366,,5895.910,,5361.578,,7242.391,,1921.319,,-1685.547,,-6219.986,,520.367,,500.565,,-914.814,,27855.945,,-159.958,,5904.909,,152.952,,-161.952,,2089.074,,1688.907,,3425.004,
1990-02,-88.751,,4947.832,,3452.909,,1047.288,,-1830.942,,19512.356,,-1456.297,,11.035,,5448.167,,4872.483,,6327.825,,3076.871,,-1494.923,,-2231.127,,982.550,,313.472,,3284.107,,25840.181,,-64.419,,4423.892,,1143.750,,-119.475,,1769.769,,477.900,,3825.195,
1990-03,-386.161,,5686.409,,3983.054,,1829.047,,3164.174,,22536.942,,-1521.843,,1512.246,,8476.909,,5045.879,,7478.134,,944.219,,-1703.356,,1135.242,,-270.205,,387.968,,4683.366,,30015.076,,-44.643,,6081.982,,2519.240,,-124.313,,1909.812,,902.846,,3216.832,
1990-04,-104.766,,5075.249,,3459.552,,1970.455,,273.239,,21196.933,,-1594.397,,81.721,,4518.584,,5219.448,,4896.854,,210.382,,-1615.697,,69.279,,611.318,,247.362,,3277.642,,26093.787,,146.003,,3657.215,,996.124,,-134.755,,1841.759,,227.005,,3248.993,
1990-05,-268.785,,5582.352,,3878.741,,1796.680,,5487.580,,20804.963,,-1524.622,,1272.639,,6946.157,,5265.688,,6592.789,,577.300,,-1703.611,,3098.981,,896.666,,308.659,,-26.509,,27397.752,,11.120,,5161.236,,1916.362,,-131.441,,1833.282,,1384.745,,3469.008,
1990-06,284.061,,6291.020,,3762.796,,955.546,,-1540.961,,20041.658,,-1391.372,,-3767.701,,2340.610,,5587.886,,4537.218,,1268.766,,-2528.224,,2092.524,,408.241,,636.389,,2281.233,,24578.875,,-76.669,,1573.167,,1240.208,,-472.765,,2027.762,,-149.845,,4632.340,
1990-07,1078.543,,6665.126,,4392.410,,839.271,,5556.669,,22089.815,,-1551.286,,3336.134,,4543.976,,5429.786,,5918.533,,1177.502,,-2272.716,,875.508,,-769.457,,551.437,,-1489.684,,28008.348,,68.947,,2933.802,,2125.881,,-515.706,,2102.723,,266.485,,4590.515,
1990-08,-402.794,,7099.039,,4488.562,,1947.932,,-3842.942,,21254.885,,-1334.765,,-3021.132,,2234.851,,5507.605,,4345.007,,2068.512,,-2610.477,,-75.003,,636.515,,231.124,,3315.477,,25599.892,,57.289,,2347.697,,13.268,,-126.114,,1565.889,,-344.013,,3559.674,
1990-09,-386.030,,6787.437,,3756.086,,2186.288,,-39.532,,21010.588,,-1589.906,,128.779,,3609.040,,5442.398,,4647.052,,539.490,,-3031.351,,-9.650,,632.058,,250.246,,2364.528,,25657.640,,112.495,,2212.084,,1454.046,,-57.090,,1840.152,,227.370,,3256.110,
1990-10,33.613,,6208.494,,4194.287,,2277.901,,4633.893,,25704.740,,-1636.548,,5206.898,,4181.572,,5749.766,,4966.785,,1159.374,,-2014.207,,-2310.599,,890.160,,290.897,,-2472.374,,30671.525,,-29.481,,3593.931,,561.378,,26.263,,1927.445,,1703.980,,3471.865,
1990-11,100.586,,5034.132,,4151.480,,1659.226,,5884.982,,26181.092,,-1812.274,,-2096.155,,3593.633,,5556.625,,2338.353,,1558.781,,-882.652,,6694.986,,712.562,,327.010,,-4561.882,,28519.445,,-0.811,,1302.654,,2804.746,,-513.767,,2139.284,,1185.566,,3897.399,
1990-12,-191.394,,5309.608,,4723.382,,1523.323,,3811.546,,23008.137,,-1753.592,,-2287.803,,1027.067,,5988.362,,2873.991,,3348.674,,-586.225,,5846.634,,686.049,,419.439,,-6816.324,,25882.127,,-2.879,,2057.497,,-744.402,,-286.027,,2173.031,,444.110,,4465.039,
1991-01,-217.542,,5890.606,,3841.229,,1759.756,,1047.747,,26608.667,,-2024.603,,6349.428,,962.695,,5978.730,,784.477,,1519.861,,-2049.377,,-4197.107,,454.386,,1198.034,,-2090.825,,27393.144,,31.527,,-1529.747,,2887.873,,-395.431,,3222.637,,-887.032,,4218.975,
1991-02,1546.086,,5363.415,,3836.229,,1675.320,,5224.891,,23284.431,,-4068.158,,-718.195,,-186.970,,5618.999,,2514.713,,14.736,,-1527.186,,3692.104,,-994.200,,968.686,,-4444.566,,25799.145,,12.169,,-1405.311,,1323.428,,-105.087,,5036.844,,704.896,,3943.679,
1991-03,-509.732,,6019.126,,3823.533,,1452.246,,-8797.086,,25408.733,,-5266.406,,1746.560,,-3138.638,,5498.431,,1926.595,,1499.753,,-2195.593,,-12960.168,,-4015.015,,1049.108,,8152.753,,27335.328,,20.956,,-4083.158,,1160.391,,-215.872,,6315.514,,2926.254,,4046.185,
1991-04,-124.667,,5754.843,,4325.954,,1507.822,,-4567.100,,26113.591,,-1996.374,,1912.068,,-2758.690,,5822.820,,366.967,,856.679,,-1428.889,,-6956.351,,-140.576,,1041.695,,1159.941,,26480.559,,-67.634,,-1550.473,,-1107.008,,-101.209,,3038.069,,601.851,,4314.998,
1991-05,-154.320,,5954.573,,4215.231,,1252.459,,-2770.948,,26629.522,,-1841.129,,-2167.581,,-3060.552,,5855.499,,-225.623,,905.406,,-1739.342,,-1232.143,,591.316,,1115.776,,-1640.025,,26403.899,,-146.302,,-2553.636,,-325.525,,-181.392,,2956.906,,783.096,,4603.040,
1991-06,1813.315,,6830.527,,4171.588,,45.990,,792.519,,24973.501,,-1721.677,,-2382.414,,34.080,,6005.222,,1098.315,,1368.434,,-2658.939,,1358.551,,-1661.097,,1292.677,,-13.896,,26071.817,,-451.879,,-3236.310,,3498.172,,-227.782,,3014.353,,3.067,,5959.232,
1991-07,286.947,,7033.911,,4695.575,,1031.666,,-4481.737,,27981.855,,-2076.822,,-1235.194,,-4844.443,,5932.047,,533.806,,2620.681,,-2338.336,,-4256.374,,-46.834,,1238.389,,-3292.100,,28515.661,,355.547,,-2849.686,,-1867.935,,-126.821,,3315.211,,722.884,,4900.381,
1991-08,588.822,,7658.470,,4631.866,,1407.559,,107.867,,22977.815,,-2191.711,,-3241.912,,-2807.274,,5771.049,,2098.188,,495.949,,-3026.605,,432.160,,550.405,,1061.391,,-3933.797,,25076.003,,-27.697,,-1712.568,,-808.527,,-286.178,,3253.102,,2328.797,,4363.490,
1991-09,374.054,,7399.780,,4223.801,,1470.748,,2446.167,,24432.275,,-1955.017,,-947.103,,1224.258,,5855.500,,1711.259,,1188.249,,-3175.980,,3719.084,,72.000,,1052.804,,-2398.097,,26143.534,,-84.061,,-1948.989,,3258.878,,-85.631,,3007.820,,-699.868,,4384.752,
1991-10,12.620,,6651.610,,4292.967,,1415.783,,4326.601,,28033.767,,-2252.338,,4627.437,,-583.874,,5846.726,,1623.111,,651.123,,-2358.644,,-610.065,,205.416,,1011.976,,-5739.049,,29656.879,,-27.965,,-1572.088,,1111.225,,-123.012,,3264.314,,296.609,,4430.943,
1991-11,1138.740,,5696.518,,4116.782,,1203.388,,6894.230,,25926.037,,-1969.013,,-503.428,,4730.554,,5915.048,,2404.576,,524.154,,-1579.736,,6677.438,,510.278,,1060.832,,-3176.495,,28330.613,,-21.612,,59.214,,4804.464,,-133.124,,3029.846,,-418.520,,4711.661,
1991-12,207.737,,6457.570,,4755.158,,1124.964,,-1641.962,,23941.644,,-2793.052,,-8301.149,,-1192.057,,5977.973,,3202.459,,4088.081,,-1702.412,,7146.366,,-436.992,,1273.827,,-3287.576,,27144.103,,86.393,,-168.042,,-469.469,,-554.546,,4066.879,,-694.916,,4853.009,
1992-01,401.108,,6598.603,,3828.695,,1444.701,,1784.634,,25870.857,,-2250.415,,6663.724,,-3177.382,,5928.416,,565.699,,542.205,,-2769.908,,-8814.602,,445.029,,1295.959,,-5659.369,,26436.556,,-289.882,,-3009.923,,-52.800,,-114.660,,3546.374,,3534.404,,4483.715,
1992-02,-264.959,,5944.730,,4244.112,,1382.805,,-9064.856,,24913.163,,-2819.422,,-2352.403,,-1403.393,,5656.459,,1887.602,,1162.965,,-1700.618,,-6038.745,,857.313,,856.129,,5433.805,,26800.764,,207.380,,-1249.634,,-57.473,,-96.286,,3675.552,,-408.749,,4273.655,
1992-03,1084.586,,6602.185,,3997.626,,1232.053,,-4883.683,,27295.956,,-2214.729,,-2054.593,,2059.243,,5813.886,,3184.291,,937.410,,-2604.559,,-4165.808,,174.457,,1178.358,,5845.954,,30480.246,,-14.896,,-402.945,,2538.056,,-75.869,,3393.087,,252.131,,4581.833,
1992-04,-43.126,,6381.354,,4387.443,,1400.294,,-4969.434,,27580.078,,-2258.857,,1306.297,,44.460,,5861.757,,1733.065,,1184.465,,-1993.911,,-4802.611,,629.311,,1218.335,,3058.740,,29313.143,,141.378,,-1119.410,,1279.613,,-115.744,,3477.193,,-1429.993,,4461.463,
1992-05,2017.135,,6344.721,,4054.809,,1063.605,,-1371.086,,24413.535,,-1721.438,,-1507.578,,-2561.393,,5885.218,,942.645,,1285.598,,-2289.912,,-5449.298,,-1077.583,,1298.455,,-1541.762,,25356.180,,143.439,,-2005.100,,-443.739,,-112.554,,3019.893,,3568.655,,4821.613,
1992-06,652.861,,7703.731,,4437.618,,684.626,,-5412.745,,23443.946,,-1923.177,,-939.178,,519.674,,5966.962,,1747.998,,1328.151,,-3266.113,,-5177.995,,377.830,,1346.360,,4299.454,,25191.944,,-73.016,,-2756.666,,3436.775,,-160.435,,3269.537,,51.567,,5282.336,
1992-07,520.588,,7870.647,,4482.432,,1173.129,,971.987,,27705.144,,-2441.220,,-2875.089,,171.461,,6156.067,,1394.033,,1305.805,,-3388.215,,4259.353,,243.604,,1453.732,,-2421.549,,29099.176,,71.614,,-3262.274,,3529.152,,-95.417,,3894.952,,-932.864,,4982.938,
1992-08,-755.211,,8119.637,,4338.268,,1499.235,,-5159.310,,20261.804,,-2005.315,,-2203.193,,-5353.057,,6135.687,,3608.554,,1105.402,,-3781.369,,-2998.089,,1978.754,,1362.349,,-2983.931,,23870.358,,-293.972,,-678.895,,-4540.094,,-134.068,,3367.664,,797.183,,4636.453,
1992-09,2618.630,,8130.425,,4294.889,,1112.687,,-21973.549,,23865.775,,-1940.530,,-7513.714,,2499.557,,5870.698,,3453.536,,2169.108,,-3835.536,,-17174.655,,39591.277,,1307.340,,-17304.145,,27319.311,,16.866,,-1209.843,,3769.147,,-59.747,,3247.869,,96.190,,4758.011,
1992-10,468.559,,7721.410,,4584.691,,1441.056,,20083.735,,26317.766,,-2408.127,,7920.085,,-4062.172,,5889.325,,3595.527,,485.370,,-3136.719,,11266.867,,-19944.179,,1166.902,,-4898.554,,29913.294,,211.455,,-508.262,,-3418.392,,-135.517,,3575.029,,428.224,,4448.269,
1992-11,426.635,,5767.887,,4202.719,,914.686,,-1639.637,,24587.192,,-1526.179,,-2667.241,,239.240,,5898.893,,1186.493,,707.881,,-1565.168,,125.180,,-866.953,,1416.408,,1897.196,,25773.685,,140.754,,-990.167,,1417.427,,-188.020,,2942.587,,475.788,,4984.207,
1992-12,452.583,,7280.471,,4844.167,,1359.670,,1315.800,,25586.917,,-2803.749,,3260.891,,1093.381,,5918.508,,931.515,,4602.817,,-2436.304,,-3170.896,,4632.366,,1484.246,,-9431.965,,26518.432,,-25.636,,-2948.869,,4049.556,,-7.307,,4287.995,,773.221,,4558.838,
1993-01,-0.795,,6578.674,,3682.969,,923.514,,1644.100,,20351.026,,-2227.791,,5556.673,,-10946.284,,6060.981,,1930.657,,1443.615,,-2895.704,,-4746.895,,-5782.999,,1643.030,,-8066.686,,22281.683,,-184.315,,-2269.325,,-8902.656,,225.696,,3870.821,,835.117,,5137.467,
1993-02,-342.759,,5972.928,,4009.600,,827.467,,5337.232,,22587.111,,-2241.079,,3093.010,,-3964.971,,5882.196,,3305.162,,-18.260,,-1963.328,,2077.155,,-5863.367,,1303.343,,-3632.543,,25892.273,,211.967,,-71.779,,-3673.290,,-219.903,,3544.422,,509.827,,5054.730,
1993-03,366.446,,6763.860,,4271.191,,1134.321,,12501.869,,23637.703,,-2028.546,,2209.995,,-825.579,,6160.964,,3750.290,,1349.186,,-2492.669,,8589.924,,-6900.983,,1473.225,,-7473.259,,27387.992,,-302.392,,363.396,,-1030.273,,-158.702,,3501.771,,1335.504,,5026.642,
1993-04,-80.935,,6830.652,,4314.476,,962.181,,-189.987,,23373.090,,-2484.976,,1043.137,,-2393.989,,6160.951,,1943.099,,786.265,,-2516.177,,-1185.903,,-1143.153,,1337.795,,-2224.621,,25316.189,,377.507,,-2095.873,,-164.751,,-133.365,,3822.771,,33.714,,5198.770,
1993-05,18.309,,6402.473,,4008.315,,359.716,,3412.335,,21482.764,,-2139.489,,-2243.045,,-1570.636,,5716.393,,2516.791,,506.531,,-2394.158,,2222.111,,765.885,,1425.704,,-6089.817,,23999.556,,-165.570,,-1657.139,,204.862,,-118.359,,3565.192,,3414.960,,5356.677,
1993-06,-158.105,,7995.790,,4352.850,,894.836,,12837.777,,21987.844,,-2137.759,,2115.949,,-1133.604,,6074.754,,4061.319,,1048.767,,-3642.940,,11965.185,,-1042.800,,1508.861,,-13943.170,,26049.162,,-34.179,,-824.544,,-198.816,,-110.244,,3646.620,,-1085.251,,5179.918,
1993-07,531.572,,8273.057,,4692.724,,734.872,,-2393.805,,22445.893,,-2503.044,,3254.745,,-5784.034,,5759.723,,1953.222,,1232.325,,-3580.334,,-4998.733,,6246.144,,1376.990,,-10978.316,,24399.115,,109.617,,-3395.283,,-2297.871,,-90.880,,3880.035,,-1181.389,,5024.851,
1993-08,-197.289,,8342.143,,4270.356,,592.599,,-20959.452,,20708.561,,-2561.800,,-2783.817,,6182.011,,5557.246,,2120.120,,1072.563,,-4071.787,,-16654.669,,23618.064,,1350.665,,2189.789,,22828.681,,261.047,,-3920.868,,10173.085,,-70.206,,3912.465,,-1323.677,,4964.647,
1993-09,363.204,,8527.406,,4523.975,,684.165,,20068.558,,22135.073,,-2113.022,,4932.521,,-4760.406,,5725.843,,3235.741,,1033.511,,-4003.431,,13443.323,,-16767.452,,1476.428,,-9644.370,,25370.814,,549.348,,-2196.546,,-2614.042,,50.182,,3589.449,,1329.510,,5041.678,
1993-10,200.564,,7564.921,,4198.191,,882.929,,5897.005,,22565.686,,-2473.656,,9211.292,,-8804.998,,5705.585,,3934.447,,893.113,,-3366.730,,-3762.241,,-5611.253,,1334.621,,-10098.641,,26500.132,,114.777,,-1023.010,,-7611.444,,-170.544,,3808.277,,247.390,,4822.656,
1993-11,-48.699,,6266.758,,4268.176,,690.052,,12430.446,,23366.331,,-2103.332,,2594.393,,4283.774,,5870.045,,3135.896,,1127.466,,-1998.582,,11210.814,,1266.556,,1583.623,,-9737.961,,26502.227,,-802.734,,-275.965,,4732.302,,-172.563,,3686.954,,-1326.062,,5179.993,
1993-12,713.940,,7117.224,,4711.167,,1182.866,,24915.880,,23511.413,,-3879.338,,-3322.684,,6640.303,,6021.512,,4320.247,,4104.781,,-2406.057,,26428.664,,-439.675,,1662.413,,-22373.249,,27831.659,,432.566,,-782.283,,7708.223,,-285.638,,5541.751,,1095.960,,4838.647,
